time,uav_id,task_type,assigned_area_id,tracked_target_id,uav_x,uav_y,uav_vx,uav_vy,action_x,action_y,action_speed,raw_action_x,raw_action_y,raw_action_speed,reward,detected,target_id
-1,0,search,0.0,,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
-1,1,search,1.0,,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
-1,2,search,2.0,,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
0,0,search,0.0,,28.35047149658203,7.158513069152832,8.350471496582031,2.158513069152832,0.5386584401130676,0.7565439343452454,-0.2750125825405121,0.6022637486457825,0.9880834817886353,-0.28227853775024414,0.0,False,
0,1,search,1.0,,58.252769470214844,8.4777193069458,8.252769470214844,3.477719306945801,-0.2928846478462219,0.814595639705658,-0.20888014137744904,-0.30171871185302734,1.140539288520813,-0.21200010180473328,0.0,False,
0,2,search,2.0,,87.79656982421875,8.121309280395508,7.79656982421875,3.121309280395508,-0.6066735982894897,0.7509441375732422,-0.3203684687614441,-0.7036407589912415,0.9751166105270386,-0.3320577144622803,0.0,False,
1,0,search,0.0,,35.549705505371094,10.955244064331055,7.1992340087890625,3.7967309951782227,0.4170229434967041,0.8593795895576477,-0.37219008803367615,0.4440827965736389,1.2909671068191528,-0.39096298813819885,0.0,False,
1,1,search,1.0,,64.12234497070312,14.236899375915527,5.869575500488281,5.759180068969727,-0.4060575067996979,0.8441202640533447,-0.3553718626499176,-0.43088123202323914,1.2353365421295166,-0.37157878279685974,0.0,True,0.0
1,2,search,2.0,,93.6821060180664,13.943310737609863,5.885536193847656,5.8220014572143555,-0.7233850359916687,0.7842010855674744,-0.3442794680595398,-0.9147095680236816,1.0561895370483398,-0.35893940925598145,0.0,False,
2,0,search,0.0,,43.87228775024414,13.738791465759277,8.322582244873047,2.7835474014282227,0.2476418912410736,0.8172357678413391,-0.24485337734222412,0.25289908051490784,1.1484373807907104,-0.24993056058883667,0.0,False,
2,2,search,1.0,,100.0,16.962160110473633,6.317893981933594,3.0188493728637695,-0.7324354648590088,0.6123275756835938,-0.19749824702739716,-0.9339613318443298,0.7126367092132568,-0.20012789964675903,0.0,False,
2,1,track,,0.0,67.51900482177734,14.988470077514648,3.3966598510742188,0.7515707015991211,-0.29388129711151123,0.7033154964447021,0.11337710171937943,-0.3028092086315155,0.8738312125205994,0.11386667191982269,0.0,True,0.0
3,0,search,0.0,,50.57398986816406,18.59352684020996,6.701702117919922,4.854735374450684,0.056896187365055084,0.8759004473686218,-0.34493157267570496,0.05695769935846329,1.357879877090454,-0.3596794009208679,0.0,True,0.0
3,2,search,1.0,,100.0,23.069374084472656,0.0,6.107213973999023,-0.8290885090827942,0.6329540014266968,-0.17612920701503754,-1.185213565826416,0.7463294267654419,-0.17798513174057007,0.0,False,
3,1,track,,0.0,69.84306335449219,16.078529357910156,2.3240585327148438,1.0900592803955078,-0.3883522152900696,0.7015356421470642,-0.05161495879292488,-0.4098581373691559,0.8703179359436035,-0.05166086554527283,0.0,True,0.0
4,0,search,0.0,,55.71406555175781,24.980361938476562,5.14007568359375,6.386835098266602,-0.056671690195798874,0.8657641410827637,-0.36034101247787476,-0.05673247575759888,1.3159139156341553,-0.37727779150009155,0.0,True,0.0
4,2,search,1.0,,100.0,31.442344665527344,0.0,8.372970581054688,-0.8476938605308533,0.6001567840576172,-0.14577451348304749,-1.2479006052017212,0.6933922171592712,-0.14682045578956604,0.0,False,
4,1,track,,0.0,71.16875457763672,17.105819702148438,1.3256912231445312,1.0272903442382812,-0.41466188430786133,0.6269799470901489,-0.2365623414516449,-0.44122806191444397,0.7364243865013123,-0.24112951755523682,0.0,True,0.0
5,0,search,0.0,,59.24519348144531,32.3953971862793,3.5311279296875,7.415035247802734,-0.1633446365594864,0.8405364751815796,-0.35742127895355225,-0.1648210883140564,1.2229986190795898,-0.37392640113830566,0.0,True,0.0
5,2,search,1.0,,100.0,40.88449478149414,0.0,9.442150115966797,-0.8912091851234436,0.5345284342765808,-0.10445043444633484,-1.4277725219726562,0.5964636206626892,-0.10483278334140778,0.0,False,
5,1,track,,0.0,71.94660186767578,18.03684425354004,0.7778472900390625,0.9310245513916016,-0.430014044046402,0.5683038234710693,-0.3529595732688904,-0.45991387963294983,0.6450138688087463,-0.36882051825523376,0.0,True,0.0
6,0,search,0.0,,61.118404388427734,40.64042282104492,1.8732109069824219,8.245025634765625,-0.2866729199886322,0.7271512746810913,-0.3089725077152252,-0.29493752121925354,0.9226556420326233,-0.3194091022014618,0.0,True,2.0
6,2,search,1.0,,97.73716735839844,50.608638763427734,-2.2628326416015625,9.724143981933594,-0.9167227745056152,0.4083496630191803,-0.003208767855539918,-1.5680986642837524,0.43362900614738464,-0.0032087787985801697,0.0,False,
6,1,track,,0.0,72.47498321533203,19.022602081298828,0.52838134765625,0.9857578277587891,-0.4218473434448242,0.5184253454208374,-0.4035000801086426,-0.4499371349811554,0.5741839408874512,-0.42782264947891235,0.0,True,0.0
7,2,search,0.0,,100.0,48.410648345947266,2.2628326416015625,-2.1979904174804688,-0.9056705236434937,-0.3453120291233063,0.06726329773664474,-1.5028976202011108,-0.3601112961769104,0.06736501306295395,0.0,False,
7,0,track,,2.0,64.2261962890625,40.491302490234375,3.1077919006347656,-0.14912033081054688,0.6103981733322144,-0.1676536500453949,-0.1406242698431015,0.7095556855201721,-0.1692514717578888,-0.14156237244606018,0.0,True,2.0
